Text,Class
"How do I complete my annual ethics training?","Compliance & Ethics"
"Where can I find the OGE 450 form?","Compliance & Ethics"
"Is the anti-harassment training mandatory this year?","Compliance & Ethics"
"When is the deadline for my cybersecurity awareness cert?","Compliance & Ethics"
"I need to report a conflict of interest - who do I contact?","Compliance & Ethics"
"What are the gift acceptance rules for federal employees?","Compliance & Ethics"
"Can I accept a lunch invitation from a contractor?","Compliance & Ethics"
"Where do I find the Hatch Act training module?","Compliance & Ethics"
"My annual OPSEC training is overdue - help!","Compliance & Ethics"
"How do I complete the No FEAR Act refresher?","Compliance & Ethics"
"Whats the policy on outside employment approval?","Compliance & Ethics"
"Do I need ethics approval to teach a college course?","Compliance & Ethics"
"Where can I review our agencys standards of conduct?","Compliance & Ethics"
"How often do I need to complete records management training?","Compliance & Ethics"
"I received a gift from a foreign official - what do I do?","Compliance & Ethics"
"Can you explain the post-employment restrictions?","Compliance & Ethics"
"Where is the annual privacy act training?","Compliance & Ethics"
"Is FISMA training required for all employees?","Compliance & Ethics"
"How do I file a financial disclosure report?","Compliance & Ethics"
"What training do I need for handling PII?","Compliance & Ethics"
"Need to complete mandatory training before EOY","Compliance & Ethics"
"ethics hotline number please","Compliance & Ethics"
"How do I access the LMS?","Learning Platforms & Access"
"I cant log into Cornerstone - getting an error","Learning Platforms & Access"
"Where do I find my training transcripts?","Learning Platforms & Access"
"How do I reset my learning portal password?","Learning Platforms & Access"
"Which browser works best for the online training system?","Learning Platforms & Access"
"The video wont play in my mandatory training module","Learning Platforms & Access"
"How do I access LinkedIn Learning through our agency?","Learning Platforms & Access"
"Is there a mobile app for the training platform?","Learning Platforms & Access"
"My completions arent showing up in my record","Learning Platforms & Access"
"How do I print my training certificate?","Learning Platforms & Access"
"Can I access training from home on my personal device?","Learning Platforms & Access"
"The LMS keeps timing out - is it down?","Learning Platforms & Access"
"How do I register for an instructor-led class?","Learning Platforms & Access"
"Where do I find the course catalog?","Learning Platforms & Access"
"SSO not working for training portal","Learning Platforms & Access"
"How do I get access to Skillsoft?","Learning Platforms & Access"
"my supervisor needs to approve my training request - how?","Learning Platforms & Access"
"Can I take training on my GFE while teleworking?","Learning Platforms & Access"
"Where is the FAI training portal?","Learning Platforms & Access"
"How do I transfer my training records from my old agency?","Learning Platforms & Access"
"Video buffering issue during training","Learning Platforms & Access"
"forgot my LMS username","Learning Platforms & Access"
"training page just shows a blank screen","Learning Platforms & Access"
"How do I apply for the leadership development program?","Career Development"
"What are the requirements for promotion to GS-13?","Career Development"
"Is there a mentoring program available?","Career Development"
"How do I create an Individual Development Plan?","Career Development"
"What rotational assignments are available in my series?","Career Development"
"Can I apply for a detail to another office?","Career Development"
"How do I get approved for external education?","Career Development"
"What training do I need for a supervisory position?","Career Development"
"Is tuition reimbursement available for my masters degree?","Career Development"
"How do I join the Senior Executive Service candidate program?","Career Development"
"What competencies should I focus on for advancement?","Career Development"
"Are there shadowing opportunities with senior leaders?","Career Development"
"How do I document my accomplishments for promotion?","Career Development"
"What aspiring leader programs does our agency offer?","Career Development"
"Can I participate in an interagency rotation?","Career Development"
"How do I become a certified project manager?","Career Development"
"What is the timeline for the next LDP cohort?","Career Development"
"Does the agency pay for professional certifications?","Career Development"
"How do I request a developmental assignment?","Career Development"
"Whats required for the management certificate program?","Career Development"
"career coaching - is that available?","Career Development"
"want to move from 343 to 2210 series - path?","Career Development"
"IDP template where?","Career Development"
"How do I set goals in USA Performance?","Performance Management"
"When are mid-year reviews due?","Performance Management"
"How do I give feedback to my direct reports?","Performance Management"
"Where do I find my performance plan?","Performance Management"
"What are the critical elements for my position?","Performance Management"
"How does the 5-level rating system work?","Performance Management"
"Can I update my performance objectives mid-cycle?","Performance Management"
"How do I document performance issues with an employee?","Performance Management"
"When do annual appraisals need to be completed?","Performance Management"
"How do I request a performance award nomination?","Performance Management"
"What is a Performance Improvement Plan?","Performance Management"
"My supervisor hasnt completed my review - what do I do?","Performance Management"
"How do I add accomplishments to my self-assessment?","Performance Management"
"What metrics should I track for my performance goals?","Performance Management"
"Can I see my historical performance ratings?","Performance Management"
"How do I give a time-off award to my team member?","Performance Management"
"Whats the difference between Exceeds and Outstanding?","Performance Management"
"performance appraisal portal link?","Performance Management"
"How do I challenge my performance rating?","Performance Management"
"progress review meeting - when?","Performance Management"
"PMAP system not loading","Performance Management"
"need help writing SMART objectives","Performance Management"
"How do I set up Teams for a meeting?","Technical Tools"
"OneDrive is not syncing my files","Technical Tools"
"Where do I download Microsoft Project?","Technical Tools"
"How do I use SharePoint to share documents with my team?","Technical Tools"
"My Outlook calendar invites arent working","Technical Tools"
"How do I request access to Power BI?","Technical Tools"
"Can I install Zoom on my government laptop?","Technical Tools"
"Where do I find the VPN client download?","Technical Tools"
"How do I create a shared mailbox in Outlook?","Technical Tools"
"Excel keeps crashing when I open large files","Technical Tools"
"How do I get Visio for process mapping?","Technical Tools"
"Teams showing wrong timezone for meetings","Technical Tools"
"How do I set up automatic replies in Outlook?","Technical Tools"
"Where is the ServiceNow portal for IT tickets?","Technical Tools"
"How do I add a shared drive to my computer?","Technical Tools"
"PowerPoint templates for agency presentations?","Technical Tools"
"How do I use Copilot in Word?","Technical Tools"
"My multifactor authentication isnt working","Technical Tools"
"How do I schedule a Teams Live Event?","Technical Tools"
"Need software request form for new tool","Technical Tools"
"Planner vs To Do - which should I use?","Technical Tools"
"M365 license question","Technical Tools"
"Where can I find information about our agency benefits?","Other/General"
"How do I contact HR?","Other/General"
"Whats the holiday schedule for this year?","Other/General"
"How do I submit a leave request?","Other/General"
"Where is the employee assistance program info?","Other/General"
"How do I update my emergency contact information?","Other/General"
"Whats the telework policy?","Other/General"
"How do I get a parking pass?","Other/General"
"Where do I find forms for travel reimbursement?","Other/General"
"Who handles building maintenance requests?","Other/General"
"How do I order office supplies?","Other/General"
"Whats the process for reporting a safety concern?","Other/General"
"Where can I find the organizational chart?","Other/General"
"How do I change my TSP contributions?","Other/General"
"Is there a gym in the building?","Other/General"
"What time does the cafeteria close?","Other/General"
"transit subsidy application?","Other/General"
"How do I get a new PIV card?","Other/General"
"wheres the break room","Other/General"
"snow day policy?","Other/General"
"new employee orientation schedule?","Other/General"
"union rep contact info","Other/General"
